n_diff	tot_bins	prop_diff	index_cell	comp_cell
1285	6159	0.20863776587108296	AT23998-A138956A-R05-C64	AT23998-A138956A-R10-C51
2191	6192	0.353843669250646	AT23998-A138956A-R05-C64	AT23998-A138956A-R11-C09
5260	6181	0.8509949846303188	AT23998-A138956A-R05-C64	AT23998-A138956A-R11-C39
1784	6166	0.289328576062277	AT23998-A138956A-R05-C64	AT23998-A138956A-R12-C48
1969	6141	0.32063181892199966	AT23998-A138956A-R05-C64	AT23998-A138956A-R12-C49
1761	6170	0.2854132901134522	AT23998-A138956A-R05-C64	AT23998-A138956A-R13-C25
2047	6171	0.331712850429428	AT23998-A138956A-R05-C64	AT23998-A138956A-R13-C37
5115	6121	0.8356477699722268	AT23998-A138956A-R05-C64	AT23998-A138956A-R13-C52
1819	6148	0.2958685751463891	AT23998-A138956A-R05-C64	AT23998-A138956A-R14-C12
4025	6182	0.6510837916531866	AT23998-A138956A-R05-C64	AT23998-A138956A-R14-C30
2150	6172	0.34834737524303305	AT23998-A138956A-R05-C64	AT23998-A138956A-R14-C38
1669	6189	0.26967199870738406	AT23998-A138956A-R05-C64	AT23998-A138956A-R14-C57
1421	6144	0.23128255208333334	AT23998-A138956A-R05-C64	AT23998-A138956A-R14-C65
1678	6142	0.2732009117551286	AT23998-A138956A-R05-C64	AT23998-A138956A-R15-C09
2180	6162	0.35378123985718923	AT23998-A138956A-R05-C64	AT23998-A138956A-R15-C10
5381	6186	0.8698674426123505	AT23998-A138956A-R05-C64	AT23998-A138956A-R15-C39
1767	6150	0.2873170731707317	AT23998-A138956A-R05-C64	AT23998-A138956A-R16-C13
2382	6154	0.38706532336691585	AT23998-A138956A-R06-C31	AT23998-A138956A-R06-C34
2408	6153	0.391353811149033	AT23998-A138956A-R06-C31	AT23998-A138956A-R06-C54
1724	6161	0.2798247037818536	AT23998-A138956A-R06-C31	AT23998-A138956A-R07-C22
1202	6146	0.1955743573055646	AT23998-A138956A-R06-C31	AT23998-A138956A-R08-C36
2297	6158	0.37301071776550826	AT23998-A138956A-R06-C31	AT23998-A138956A-R08-C39
2405	6171	0.38972613838924	AT23998-A138956A-R06-C31	AT23998-A138956A-R08-C41
2816	6170	0.4564019448946515	AT23998-A138956A-R06-C31	AT23998-A138956A-R08-C60
1517	6135	0.24726976365118175	AT23998-A138956A-R06-C31	AT23998-A138956A-R08-C62
2741	6169	0.4443183660236667	AT23998-A138956A-R06-C31	AT23998-A138956A-R08-C64
2153	6154	0.3498537536561586	AT23998-A138956A-R06-C31	AT23998-A138956A-R09-C17
1640	6170	0.26580226904376014	AT23998-A138956A-R06-C31	AT23998-A138956A-R09-C18
2552	6166	0.413882581900746	AT23998-A138956A-R06-C31	AT23998-A138956A-R09-C57
2368	6176	0.38341968911917096	AT23998-A138956A-R06-C31	AT23998-A138956A-R09-C63
2364	5989	0.3947236600434129	AT23998-A138956A-R06-C31	AT23998-A138956A-R09-C66
2159	6167	0.3500891843684125	AT23998-A138956A-R06-C31	AT23998-A138956A-R10-C13
2120	6174	0.34337544541626175	AT23998-A138956A-R06-C31	AT23998-A138956A-R10-C21
1901	6166	0.30830360038923127	AT23998-A138956A-R06-C31	AT23998-A138956A-R10-C27
1744	6161	0.28307093004382405	AT23998-A138956A-R06-C31	AT23998-A138956A-R10-C33
1859	6184	0.300614489003881	AT23998-A138956A-R06-C31	AT23998-A138956A-R10-C51
2210	6169	0.3582428270384179	AT23998-A138956A-R06-C31	AT23998-A138956A-R11-C09
5334	6186	0.8622696411251213	AT23998-A138956A-R06-C31	AT23998-A138956A-R11-C39
1463	6172	0.23703823720025924	AT23998-A138956A-R06-C31	AT23998-A138956A-R12-C48
2383	6147	0.3876687815194404	AT23998-A138956A-R06-C31	AT23998-A138956A-R12-C49
2218	6153	0.36047456525272226	AT23998-A138956A-R06-C31	AT23998-A138956A-R13-C25
1678	6153	0.2727124979684707	AT23998-A138956A-R06-C31	AT23998-A138956A-R13-C37
5391	6136	0.8785853976531942	AT23998-A138956A-R06-C31	AT23998-A138956A-R13-C52
2578	6143	0.4196646589614195	AT23998-A138956A-R06-C31	AT23998-A138956A-R14-C12
3978	6173	0.6444192450996274	AT23998-A138956A-R06-C31	AT23998-A138956A-R14-C30
2217	6176	0.358970207253886	AT23998-A138956A-R06-C31	AT23998-A138956A-R14-C38
2222	6163	0.36053869868570504	AT23998-A138956A-R06-C31	AT23998-A138956A-R14-C57
1889	6138	0.30775496904529165	AT23998-A138956A-R06-C31	AT23998-A138956A-R14-C65
1435	6160	0.23295454545454544	AT23998-A138956A-R06-C31	AT23998-A138956A-R15-C09
2408	6178	0.38977015215280025	AT23998-A138956A-R06-C31	AT23998-A138956A-R15-C10
5070	6180	0.8203883495145631	AT23998-A138956A-R06-C31	AT23998-A138956A-R15-C39
2188	6167	0.35479163288470894	AT23998-A138956A-R06-C31	AT23998-A138956A-R16-C13
2905	6146	0.47266514806378135	AT23998-A138956A-R06-C34	AT23998-A138956A-R06-C54
1909	6151	0.31035603966834663	AT23998-A138956A-R06-C34	AT23998-A138956A-R07-C22
2478	6158	0.402403377720039	AT23998-A138956A-R06-C34	AT23998-A138956A-R08-C36
2678	6148	0.43558880936890043	AT23998-A138956A-R06-C34	AT23998-A138956A-R08-C39
2818	6142	0.4588082057961576	AT23998-A138956A-R06-C34	AT23998-A138956A-R08-C41
3137	6142	0.5107456854444806	AT23998-A138956A-R06-C34	AT23998-A138956A-R08-C60
1976	6137	0.3219814241486068	AT23998-A138956A-R06-C34	AT23998-A138956A-R08-C62
3222	6134	0.5252689925008152	AT23998-A138956A-R06-C34	AT23998-A138956A-R08-C64
2858	6136	0.4657757496740548	AT23998-A138956A-R06-C34	AT23998-A138956A-R09-C17
2238	6150	0.36390243902439023	AT23998-A138956A-R06-C34	AT23998-A138956A-R09-C18
2639	6149	0.42917547568710357	AT23998-A138956A-R06-C34	AT23998-A138956A-R09-C57
2754	6134	0.4489729377241604	AT23998-A138956A-R06-C34	AT23998-A138956A-R09-C63
3030	5981	0.5066042467814746	AT23998-A138956A-R06-C34	AT23998-A138956A-R09-C66
2003	6141	0.32616837648591435	AT23998-A138956A-R06-C34	AT23998-A138956A-R10-C13
3358	6162	0.5449529373580007	AT23998-A138956A-R06-C34	AT23998-A138956A-R10-C21
2180	6148	0.3545868575146389	AT23998-A138956A-R06-C34	AT23998-A138956A-R10-C27
2863	6147	0.46575565316414513	AT23998-A138956A-R06-C34	AT23998-A138956A-R10-C33
2639	6157	0.42861783336040277	AT23998-A138956A-R06-C34	AT23998-A138956A-R10-C51
2837	6129	0.4628813835862294	AT23998-A138956A-R06-C34	AT23998-A138956A-R11-C09
5279	6167	0.8560077833630615	AT23998-A138956A-R06-C34	AT23998-A138956A-R11-C39
1975	6150	0.32113821138211385	AT23998-A138956A-R06-C34	AT23998-A138956A-R12-C48
3094	6122	0.505390395295655	AT23998-A138956A-R06-C34	AT23998-A138956A-R12-C49
2639	6163	0.42820055167937693	AT23998-A138956A-R06-C34	AT23998-A138956A-R13-C25
2244	6147	0.36505612493899464	AT23998-A138956A-R06-C34	AT23998-A138956A-R13-C37
5241	6133	0.8545573128974401	AT23998-A138956A-R06-C34	AT23998-A138956A-R13-C52
2932	6123	0.47885023681202027	AT23998-A138956A-R06-C34	AT23998-A138956A-R14-C12
3935	6181	0.6366283772852289	AT23998-A138956A-R06-C34	AT23998-A138956A-R14-C30
2960	6154	0.4809879753006175	AT23998-A138956A-R06-C34	AT23998-A138956A-R14-C38
2878	6151	0.46789139977239474	AT23998-A138956A-R06-C34	AT23998-A138956A-R14-C57
2593	6126	0.42327783219066273	AT23998-A138956A-R06-C34	AT23998-A138956A-R14-C65
2167	6151	0.35230043895301577	AT23998-A138956A-R06-C34	AT23998-A138956A-R15-C09
2948	6138	0.48028673835125446	AT23998-A138956A-R06-C34	AT23998-A138956A-R15-C10
5345	6175	0.8655870445344129	AT23998-A138956A-R06-C34	AT23998-A138956A-R15-C39
2741	6144	0.4461263020833333	AT23998-A138956A-R06-C34	AT23998-A138956A-R16-C13
1926	6151	0.313119817915786	AT23998-A138956A-R06-C54	AT23998-A138956A-R07-C22
2338	6161	0.3794838500243467	AT23998-A138956A-R06-C54	AT23998-A138956A-R08-C36
2179	6154	0.3540786480337992	AT23998-A138956A-R06-C54	AT23998-A138956A-R08-C39
1011	6150	0.16439024390243903	AT23998-A138956A-R06-C54	AT23998-A138956A-R08-C41
2776	6156	0.45094217024041583	AT23998-A138956A-R06-C54	AT23998-A138956A-R08-C60
1728	6124	0.2821685173089484	AT23998-A138956A-R06-C54	AT23998-A138956A-R08-C62
2485	6148	0.4041964866623292	AT23998-A138956A-R06-C54	AT23998-A138956A-R08-C64
1138	6130	0.18564437194127242	AT23998-A138956A-R06-C54	AT23998-A138956A-R09-C17
1661	6179	0.26881372390354424	AT23998-A138956A-R06-C54	AT23998-A138956A-R09-C18
2874	6135	0.4684596577017115	AT23998-A138956A-R06-C54	AT23998-A138956A-R09-C57
1089	6141	0.17733268197361993	AT23998-A138956A-R06-C54	AT23998-A138956A-R09-C63
